SIFRA,"IME_VOLISCA"
204014,"Vrtec Semedela - Prisoje - Oljčna pot 63"
204015,"Dnevni center Barčica - Prisoje 1"
204016,"Študentski dom - Prisoje 9"
204017,"sedež KS - Kraljeva 17"
204018,"OŠ Anton Ukmar - Pot v gaj 2"
204019,"OŠ Anton Ukmar - Pot v gaj 2"
204020,"Dijaški in študentski dom Koper - Cankarjeva 5"
204021,"Dijaški in študentski dom Koper - Cankarjeva 5"
204022,"SEPŠ - Martinčev trg 3"
204023,"SEPŠ - Martinčev trg 3"
204024,"Italijanska šola - Gimnazijski trg 7"
204025,"Italijanska šola - Gimnazijski trg 7"
204026,"OŠ Dušan Bordon - Rozmanova 21a"
205001,"OŠ Ankaran"
205002,"OŠ Ankaran"
205003,"OŠ Ankaran"
205004,"Vrtec Koper - Enota Bertoki"
205005,"O.Š. Prade"
205006,"Boršt - Dom KS"
205007,"Črni Kal - sedež KS"
205008,"Rižana - vrtec"
205009,"Gabrovica - Vaški dom"
205010,"Osp - dvorana"
205011,"Kastelec - Vaški dom"
205012,"Črnotiče - stara šola"
205013,"Dol - Gasilski dom"
205014,"Hrastovlje - Vaški dom"
205015,"Podpeč - Prkičeva hiša"
205016,"Bezovica - dvorana"
205017,"Loka - pomožni objekt"
205018,"Predloka - pomožni objekt"
205019,"Dekani - kulturni dom"
205020,"Dekani - kulturni dom"
205021,"Gračišče - kulturni dom"
205022,"Kubed - dvorana"
205023,"Movraž - Gasilski dom"
205024,"Sočerga  - zadružni dom"
205025,"Trebeše št. 40 - Lovski dom"
205026,"Pregara - šola"
205027,"Belvedur - št. 2"
205028,"Brezovica - kulturni dom"
205029,"Božiči - kulturni dom"
205030,"Božiči - kulturni dom"
205031,"Marezige - zadružni dom"
205032,"Trsek - vaški dom"
205033,"Babiči - Gasilski dom"
205034,"Lopar - kulturni dom"
205035,"Truške - šola"
